file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,diagnostic_flags_LI-7200,,,,,,,,,RSSI_LI-7200,variances,,,,,,covariances,,,custom_variables,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,co2_mean,h2o_mean,co2_mean,h2o_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,flowrate_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--
2023-05-10T103000_AIU-1095.ghg,2023-05-10,11:00,130.4582,1,36000,36000,-0.288253,1,91.9452,1,-0.757977,2,-9.72329,2,-0.170466E-01,2,-9999,-9999,-9999,-9999,-0.139303E-08,-0.193843E-10,15.7228,393.833,396.003,0.200000,1,218.785,5.48024,5.51044,0.200000,1,287.403,286.904,96687.6,1.17164,1008.35,0.247133E-01,-0.110462E-02,0.399598E-02,529.092,1568.39,0.341060E-02,33.7347,1039.30,271.184,0.120575,-0.479757,0.848484E-01,0.501901,0.234765E-13,-0.885996E-13,0.501901,3.59197,258.828,284.108,9.73283,-9999,0.496010,0.831032,-112.932,-0.228457E-01,-121.303,-0.156904,0,74.7940,-11.3503,25.6744,63.9328,97.5015,136.747,204.872,-0.282508,1.02034,90.1952,1.02070,-0.707134,1.07190,-9.07108,1.07190,-0.159031E-01,1.07190,800000099,800000099,800000099,800000099,800000099,800010099,899999999,899999999,89999,89999,89,89,1,0,0,34,3,0,0,0,0,0,0,0,0,0,0,100,1.24741,0.307420,0.107230,0.250450,4.48400,0.156357E-01,0.763447E-01,-0.225410,-0.395182E-03,15.6997,218.454,393.832,5.48019,101.525,122.441,0.00000
2023-05-10T110000_AIU-1095.ghg,2023-05-10,11:30,130.4790,1,36000,36000,-0.106843,1,49.7962,1,10.0767,1,1.89892,1,0.226621,1,-0.633752E-02,0.426867,0.671245E-01,0.960002E-02,-0.191632E-09,-0.273871E-11,15.7409,394.984,397.226,0.500000E-01,0,224.961,5.64491,5.67695,0.200000,1,287.415,286.901,96447.1,1.16867,1008.44,0.247759E-01,0.146850E-01,0.410565E-02,543.605,1568.01,0.351311E-02,34.6686,1024.40,271.552,-0.147401,0.869292,0.104922E-01,0.881763,0.616888E-13,-0.121742E-13,0.881763,4.52317,82.8512,99.6238,0.681788,-9999,0.302362,0.876647,-47.1517,-0.547171E-01,4.94170,-0.139743,0,55.5968,-8.43703,19.0846,47.5233,72.4760,101.649,152.288,-0.105411,1.01358,49.6446,1.01642,9.41716,1.07004,1.77462,1.07004,0.211787,1.07004,800000099,800000099,800000099,800000099,800000099,800011099,899999999,899999999,89999,89999,89,89,0,0,2,60,18,0,0,0,0,0,0,0,0,0,0,100,1.28803,0.381619,0.836434E-01,0.146808,0.511747,0.504194E-02,0.421243E-01,0.442171E-01,0.527696E-02,15.7184,224.638,394.984,5.64490,101.548,122.470,0.00000
2023-05-10T113000_AIU-1095.ghg,2023-05-10,12:00,130.4999,1,36000,36000,-0.521458E-01,2,55.4398,0,2.09295,1,1.23266,1,0.470715E-01,1,0.804261E-01,0.193081,-0.229208E-01,0.434250E-02,0.445278E-09,0.645413E-11,15.7492,394.591,396.860,0.200000,1,228.278,5.71943,5.75233,0.200000,1,287.469,286.948,96415.4,1.16806,1008.48,0.247887E-01,0.305023E-02,0.415770E-02,550.588,1572.83,0.355950E-02,35.0062,1022.24,271.725,0.454687,1.19758,-0.104886,1.28528,0.125224E-12,0.282731E-13,1.28528,4.88015,121.685,69.2097,-4.68085,-9999,0.211289,1.93213,-14.4487,-0.178563,26.4888,-0.222747,0,45.2490,-6.86670,15.5325,38.6781,58.9866,82.7295,123.944,-0.515901E-01,1.01077,54.8427,1.01489,1.95150,1.07248,1.14935,1.07248,0.438903E-01,1.07248,800000099,800000099,800000099,800000099,800000099,800000199,899999999,899999999,89999,89999,89,89,3,0,1,44,4,0,0,0,0,0,0,0,0,0,0,100,3.17669,0.619209,0.683496E-01,0.151594,0.697453,0.136829E-01,0.465572E-01,0.286545E-01,0.109423E-02,15.7270,227.956,394.590,5.71941,101.539,122.463,0.00000
2023-05-10T120000_AIU-1095.ghg,2023-05-10,12:30,130.5207,1,36000,36000,-0.177193,1,28.0573,1,-0.410462,2,1.23651,1,-0.923072E-02,2,-0.153869,-0.371971E-01,0.102573E-01,-0.836509E-03,-0.118804E-08,-0.171692E-10,15.7786,394.767,397.032,0.800000,0,228.028,5.70508,5.73782,0.200000,1,287.377,286.857,96421.1,1.16850,1008.47,0.247793E-01,-0.598150E-03,0.414884E-02,549.241,1563.61,0.355057E-02,35.1264,1014.37,271.692,-0.187419,0.654533,0.211364E-01,0.681166,-0.144465E-12,-0.752943E-13,0.681166,4.34075,69.3868,105.979,1.77816,-9999,0.389412,0.997646,-178.737,-0.144346E-01,-68.3552,-0.611426E-01,0,71.0015,-10.7747,24.3725,60.6910,92.5576,129.813,194.484,-0.174361,1.01624,27.5863,1.01807,-0.383549,1.07017,1.15544,1.07017,-0.862547E-02,1.07017,800000099,800000099,800000099,800000099,800000099,800010199,899999999,899999999,89999,89999,89,89,1,4,0,62,22,0,0,0,0,0,0,0,0,0,0,100,1.38495,0.535066,0.752751E-01,0.674403E-01,0.889335,0.686162E-02,0.234100E-01,0.287950E-01,-0.214958E-03,15.7568,227.714,394.766,5.70507,101.545,122.475,0.00000
2023-05-10T123000_AIU-1095.ghg,2023-05-10,13:00,130.5415,1,36000,36000,-0.494104E-01,1,32.1872,1,7.39553,1,0.912136,1,0.166310,1,-0.522318E-01,-0.618969E-01,-0.604728E-01,-0.139193E-02,-0.436628E-10,-0.630020E-12,15.7332,393.729,395.979,0.750000,0,227.018,5.68120,5.71366,0.200000,1,287.344,286.827,96407.9,1.16848,1008.46,0.247799E-01,0.107769E-01,0.413138E-02,546.872,1560.50,0.353570E-02,35.0447,1013.62,271.633,0.636779,0.848623,-0.887152E-01,1.06467,0.279646E-12,-0.277520E-14,1.06467,4.68181,135.696,53.1166,-4.77980,-9999,0.205636,0.754005,-22.9405,-0.112465,4.35225,-0.132833,0,52.1386,-7.91224,17.8975,44.5673,67.9680,95.3260,142.816,-0.488231E-01,1.01203,32.1665,1.01553,6.90636,1.07083,0.851802,1.07083,0.155310,1.07083,800000099,800000099,800000099,800000099,800000099,800011099,899999999,899999999,89999,89999,89,89,0,4,3,67,21,0,0,0,0,0,0,0,0,0,0,100,0.483181,0.979403,0.454257E-01,0.683766E-01,0.573601,0.835598E-02,0.272977E-01,0.212280E-01,0.387051E-02,15.7116,226.706,393.729,5.68120,101.566,122.498,0.00000
2023-05-10T130000_AIU-1095.ghg,2023-05-10,13:30,130.5624,1,36000,36000,-0.343564E-01,1,22.3047,1,-2.29728,1,0.369502,1,-0.516658E-01,1,0.163672,0.140020,0.357177E-02,0.314905E-02,-0.125819E-09,-0.183246E-11,15.7297,393.790,396.062,0.800000,0,229.090,5.73525,5.76833,0.200000,1,287.445,286.923,96397.9,1.16794,1008.49,0.247912E-01,-0.334794E-02,0.416878E-02,552.007,1570.29,0.356935E-02,35.1533,1018.28,271.760,0.348596,0.862389,-0.517744E-01,0.931619,0.231933E-13,-0.799885E-14,0.931619,2.55826,116.231,67.9904,-3.18583,-9999,0.171512,0.294754,-19.2064,-0.134330,-9.70920,-0.110411,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.339123E-01,1.01310,21.8617,1.01614,-2.14661,1.07019,0.345268,1.07019,-0.482772E-01,1.07019,800000099,800000099,800000099,800000099,800001199,800011199,899999999,899999999,89999,89999,89,89,0,3,0,33,0,30,0,0,0,0,0,0,0,0,0,100,0.257967,0.302193,0.293486E-01,0.571861E-01,0.319499,0.993046E-02,0.185606E-01,0.860890E-02,-0.120374E-02,15.7079,228.772,393.790,5.73524,101.591,122.526,0.00000
2023-05-10T133000_AIU-1095.ghg,2023-05-10,14:00,130.5832,1,36000,36000,-0.243722E-01,0,12.6726,0,7.20444,1,1.36663,1,0.162011,1,-0.186188,-0.115226,0.515025E-01,-0.259117E-02,0.105155E-09,0.151623E-11,15.7868,394.674,396.933,0.700000,0,227.629,5.69079,5.72336,0.200000,1,287.332,286.813,96395.1,1.16837,1008.46,0.247821E-01,0.104983E-01,0.413799E-02,547.721,1559.16,0.354168E-02,35.1293,1011.44,271.654,0.180926,1.07550,-0.571791E-01,1.09211,-0.712238E-13,0.666098E-14,1.09211,2.97320,104.631,80.4508,-3.00119,-9999,0.144430,0.275755,-20.1861,-0.127811,1.75900,-0.744680E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.240869E-01,1.01184,12.9062,1.01543,6.72684,1.07100,1.27603,1.07100,0.151271,1.07100,800000099,800000099,800000099,800000099,800000099,800010099,899999999,899999999,89999,89999,89,89,2,8,0,60,0,0,0,0,0,0,0,0,0,0,0,100,0.270770,0.250257,0.304830E-01,0.242325E-01,1.86788,0.137826E-01,0.109536E-01,0.318034E-01,0.377023E-02,15.7653,227.320,394.673,5.69079,101.585,122.523,0.00000
2023-05-10T140000_AIU-1095.ghg,2023-05-10,14:30,130.6040,1,36000,36000,-0.382276E-01,1,12.4929,1,2.01775,2,-0.276149,2,0.453686E-01,2,-0.224609,0.921471E-01,0.644190E-01,0.207191E-02,0.749840E-09,0.108491E-10,15.8515,395.779,398.058,0.200000,1,229.348,5.72633,5.75931,0.200000,1,287.203,286.682,96390.3,1.16883,1008.48,0.247722E-01,0.293989E-02,0.416549E-02,551.107,1545.82,0.356380E-02,35.6513,994.717,271.738,0.140730,1.47965,-0.730115E-01,1.48812,-0.201391E-12,0.473040E-13,1.48812,4.14339,96.5760,84.5669,-2.81223,-9999,0.180847,0.240235,-40.1980,-0.641823E-01,6.19152,-0.586047E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.378500E-01,1.00998,12.4485,1.01457,1.87794,1.07445,-0.257014,1.07445,0.422250E-01,1.07445,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,3,1,6,48,0,0,0,0,0,0,0,0,0,0,0,100,0.222956,0.224858,0.326559E-01,0.168590E-01,1.20871,0.148368E-01,0.105608E-01,-0.640342E-02,0.105202E-02,15.8304,229.042,395.779,5.72632,101.576,122.517,0.00000
2023-05-10T143000_AIU-1095.ghg,2023-05-10,15:00,130.6249,1,36000,36000,-0.211978E-01,1,3.80605,1,1.66855,1,0.574116,1,0.375119E-01,1,-0.242761,0.158538,0.451450E-02,0.356421E-02,0.383188E-10,0.560222E-12,15.8717,395.856,398.161,0.200000,1,232.044,5.78743,5.82112,0.200000,1,287.065,286.539,96385.7,1.16933,1008.51,0.247616E-01,0.243077E-02,0.421174E-02,556.950,1531.53,0.360184E-02,36.3655,974.582,271.881,0.394647,1.03877,-0.716750E-01,1.11352,-0.485841E-13,0.241429E-14,1.11352,2.89020,110.410,69.1973,-3.69057,-9999,0.134641,0.129897,-54.4472,-0.473854E-01,2.28105,-0.239707E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.209525E-01,1.01170,3.84873,1.01536,1.55773,1.07114,0.535986,1.07114,0.350205E-01,1.07114,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,11,19,3,20,0,0,0,0,0,0,0,0,0,0,0,100,0.867680E-01,0.156612,0.164132E-01,0.136881E-01,1.42225,0.202668E-01,0.326362E-02,0.133490E-01,0.872202E-03,15.8508,231.738,395.856,5.78738,101.575,122.519,0.00000
2023-05-10T150000_AIU-1095.ghg,2023-05-10,15:30,130.6457,1,36000,36000,-0.146121E-01,1,-2.15636,2,1.31300,2,0.159569,2,0.295129E-01,2,-0.331155,-0.596877E-01,0.628994E-01,-0.134163E-02,0.624989E-10,0.907636E-12,15.9320,396.934,399.235,0.200000,1,231.371,5.76444,5.79787,0.200000,1,286.869,286.345,96392.4,1.17022,1008.49,0.247429E-01,0.191243E-02,0.419819E-02,554.781,1512.24,0.358753E-02,36.6860,957.461,271.828,0.162188,0.684925,-0.171928E-01,0.704076,0.729278E-13,0.392286E-14,0.704076,1.64150,102.726,76.6779,-1.39924,-9999,0.111744,0.781497E-01,54.9399,0.469604E-01,-1.64232,0.163516E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.144610E-01,1.01045,-2.05257,1.01666,1.20839,1.08657,0.146856,1.08657,0.271616E-01,1.08657,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,0,2,1,14,0,2,0,0,0,0,0,0,0,0,0,100,0.604637E-01,0.866754E-01,0.916042E-02,0.530377E-01,2.22734,0.311504E-01,-0.173924E-02,0.365468E-02,0.675947E-03,15.9114,231.071,396.933,5.76443,101.576,122.523,0.00000
2023-05-10T153000_AIU-1095.ghg,2023-05-10,16:00,130.6665,1,36000,36000,-0.361792E-02,1,-0.765128,1,-1.68669,2,-0.227529,2,-0.378629E-01,2,-2.34099,2.30272,0.411986,0.516917E-01,0.124533E-10,0.204884E-12,16.2503,403.960,406.663,0.200000,1,267.353,6.64603,6.69050,0.200000,1,285.579,284.978,96381.1,1.17530,1008.94,0.246346E-01,-0.245352E-02,0.486152E-02,639.372,1382.42,0.413640E-02,46.2501,743.050,273.777,0.572495,-0.249926,-0.199028E-01,0.624988,-0.504251E-13,0.766341E-15,0.624988,1.25461,202.801,336.416,-1.82490,-9999,0.554823E-01,0.706705E-01,18.9532,0.136125,0.453627,0.116296E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.357287E-02,1.01261,-0.839940,1.02238,-1.51055,1.11661,-0.203768,1.11661,-0.339089E-01,1.11661,800000099,800000099,800000099,800000099,800000099,801010099,899999999,899999999,89999,89999,89,89,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,100,0.994941E-01,0.372852E-01,0.456162E-02,0.175027,6.06027,0.969651E-01,-0.708324E-03,-0.505326E-02,-0.840909E-03,16.2299,267.019,403.959,6.64585,101.546,122.496,0.00000
2023-05-10T160000_AIU-1095.ghg,2023-05-10,16:30,130.6873,1,36000,36000,-0.132736E-02,1,-4.37783,1,8.57608,1,2.29537,1,0.192331,1,-1.72669,0.206341,0.458742,0.462751E-02,-0.927416E-10,-0.151463E-11,16.6245,411.756,414.544,0.700000,0,271.507,6.72467,6.77020,0.200000,1,284.580,283.974,96385.7,1.17948,1008.97,0.245472E-01,0.124631E-01,0.493656E-02,646.952,1293.38,0.418537E-02,50.0203,646.428,273.940,0.621251,-0.354209,-0.200980E-01,0.715417,0.483313E-15,-0.557860E-14,0.715417,1.11667,210.174,330.310,-1.60981,-9999,0.335466E-01,0.192293E-01,0.732237,3.52345,-0.510469,0.109659,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.124422E-02,1.06682,-3.57259,1.13264,5.07257,1.69068,1.35766,1.69068,0.113760,1.69068,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,0,15,0,13,0,0,0,0,0,0,0,0,0,0,0,100,0.244983E-01,0.114365E-01,0.252393E-02,0.132295,14.1005,0.822277E-01,-0.300203E-02,0.335519E-01,0.281135E-02,16.6046,271.178,411.754,6.72461,101.499,122.452,0.00000
2023-05-10T163000_AIU-1095.ghg,2023-05-10,17:00,130.7082,1,36000,36000,-0.439275E-02,1,0.985654,2,3.05995,0,-1.39046,2,0.685900E-01,0,-0.888485,0.310645,0.686177,0.696323E-02,0.138107E-09,0.223204E-11,17.1455,423.394,426.311,0.200000,1,277.101,6.84277,6.88992,0.200000,1,284.073,283.458,96403.9,1.18180,1009.02,0.244989E-01,0.444463E-02,0.503316E-02,658.413,1249.65,0.425890E-02,52.6880,591.233,274.183,0.587220,-0.377500,-0.127049E-01,0.698208,0.540516E-14,0.805496E-14,0.698208,1.21651,215.063,327.265,-1.04263,-9999,0.609673E-01,0.496652E-01,-19.5251,-0.132138,0.322114,-0.135577E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.432375E-02,1.01596,1.13965,1.01789,2.85950,1.07010,-1.29938,1.07010,0.640967E-01,1.07010,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,9,7,0,1,7,0,0,0,0,0,0,0,0,0,0,100,0.736580E-01,0.198968E-01,0.577559E-02,0.960057E-01,8.74484,0.214123E-01,0.955719E-03,-0.320521E-01,0.158110E-02,17.1258,276.781,423.393,6.84276,101.469,122.425,0.00000
2023-05-10T170000_AIU-1095.ghg,2023-05-10,17:30,130.7290,1,36000,36000,-0.382755E-01,1,-7.27259,1,28.5424,2,12.8004,1,0.639418,2,-1.04798,0.807569,0.738730,0.180915E-01,-0.611465E-09,-0.100284E-10,17.6952,435.895,439.033,0.200000,1,290.211,7.14892,7.20039,0.200000,1,283.493,282.851,96426.9,1.18448,1009.18,0.244429E-01,0.414343E-01,0.527038E-02,687.968,1199.85,0.444953E-02,57.3377,511.885,274.795,0.214064,-0.198962E-01,0.170377E-01,0.215661,-0.878863E-13,-0.345554E-13,0.215661,1.28785,190.062,354.690,4.53121,-9999,0.179762,0.202872,67.8453,0.380277E-01,-0.254799,0.338452E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.375005E-01,1.02067,-5.58487,1.02109,26.3186,1.08450,11.8031,1.08450,0.589599,1.08450,800000099,800000099,800000099,800000099,800000099,801000099,899999999,899999999,89999,89999,89,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.190222,0.207425,0.809738E-02,0.826986E-01,26.4063,0.822948E-01,-0.467217E-02,0.290575,0.145151E-01,17.6755,289.887,435.893,7.14881,101.448,122.408,0.00000
2023-05-10T173000_AIU-1095.ghg,2023-05-10,18:00,130.7498,1,36000,36000,-0.331399E-02,1,-0.969647,2,0.742848,0,1.78418,0,0.166361E-01,0,-0.591022,-0.159026,0.116276,-0.356140E-02,-0.573095E-10,-0.927809E-12,17.7965,437.860,440.986,0.200000,1,288.116,7.08872,7.13933,0.200000,1,283.145,282.509,96416.9,1.18582,1009.14,0.244155E-01,0.107802E-02,0.523188E-02,682.117,1172.59,0.441204E-02,58.1720,490.469,274.676,0.427807,-0.268824,-0.179137E-02,0.505260,0.230851E-13,-0.322026E-14,0.505260,1.04741,212.078,327.856,-0.203139,-9999,0.528649E-01,0.361258E-01,12.9410,0.199367,-1.30531,0.153278E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.326784E-02,1.01413,-0.909404,1.02483,0.659778,1.12591,1.58466,1.12591,0.147757E-01,1.12591,800000099,800000099,800000099,800000099,800000099,800101099,899999999,899999999,89999,89999,89,89,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0.549955E-01,0.127715E-01,0.448454E-02,0.941852E-01,4.49092,0.125240E-01,-0.759957E-03,0.389659E-01,0.363327E-03,17.7771,287.802,437.860,7.08870,101.442,122.404,0.00000
2023-05-10T180000_AIU-1095.ghg,2023-05-10,18:30,130.7707,1,36000,36000,0.258782E-01,1,14.5051,2,17.4470,1,20.7367,1,0.391080,1,1.62892,-0.186697E-01,0.865513,-0.418487E-03,-0.314699E-09,-0.492462E-11,18.4049,452.538,455.766,0.200000,1,288.012,7.08162,7.13213,0.200000,1,284.092,283.454,96421.6,1.18192,1009.15,0.244959E-01,0.253420E-01,0.520947E-02,681.470,1249.36,0.440762E-02,54.5457,567.886,274.662,-0.493402E-01,-0.513352,0.815477E-01,0.522125,0.213487E-12,-0.170987E-13,0.522125,1.41992,275.399,264.510,8.98549,-9999,0.147970,0.134959,-18.9713,-0.135995,0.831379,-0.821869E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.253772E-01,1.01974,15.2121,1.02031,16.2815,1.07159,19.3514,1.07159,0.364954,1.07159,800000099,800000099,800000099,800000099,800000099,800101199,899999999,899999999,89999,89999,89,89,22,4,8,16,10,0,0,0,0,0,0,0,0,0,0,100,0.654067E-01,0.196095,0.841705E-02,0.848225,181.735,0.113361,0.127539E-01,0.477404,0.900353E-02,18.3849,287.699,452.533,7.08146,101.441,122.404,0.00000
2023-05-10T183000_AIU-1095.ghg,2023-05-10,19:00,130.7915,1,36000,36000,-0.374602E-01,1,43.7073,1,-11.3634,1,6.10738,1,-0.254592,1,-0.871587,0.247123,0.168465,0.553666E-02,-0.654932E-09,-0.103194E-10,18.4874,455.391,458.682,0.200000,1,291.297,7.17537,7.22722,0.200000,1,283.594,282.949,96407.3,1.18382,1009.19,0.244566E-01,-0.164976E-01,0.528691E-02,690.367,1207.81,0.446599E-02,57.1586,517.442,274.843,0.147414,-0.471223,0.714997E-01,0.498893,-0.171231E-12,-0.354259E-13,0.498893,1.58005,243.358,287.371,8.23981,-9999,0.177886,0.198675,-10.9379,-0.235878,-3.84631,-0.205662,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.367102E-01,1.02043,42.2901,1.02076,-10.6007,1.07195,5.69744,1.07195,-0.237503,1.07195,800000099,800000099,800000099,800000099,800000099,800000199,899999999,899999999,89999,89999,89,89,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0.113888,0.272793,0.106696E-01,0.522784,14.6964,0.464253E-01,0.353982E-01,0.140345,-0.585043E-02,18.4667,290.967,455.389,7.17527,101.475,122.439,0.00000
2023-05-10T190000_AIU-1095.ghg,2023-05-10,19:30,130.8123,1,36000,36000,-0.167505E-01,1,0.565167,1,-1.35228,1,1.37350,1,-0.302675E-01,1,-1.77869,0.736560,0.338101,0.164860E-01,-0.123105E-09,-0.198998E-11,18.7536,461.095,464.558,0.200000,1,303.149,7.45354,7.50951,0.900000,0,282.589,281.922,96397.5,1.18788,1009.33,0.243725E-01,-0.196133E-02,0.551083E-02,716.995,1127.06,0.463921E-02,63.6164,410.065,275.373,0.317710,-0.115746,0.673814E-03,0.338138,0.447294E-13,-0.656435E-14,0.338138,1.10254,204.592,339.983,0.114174,-9999,0.118748,0.105373,-251.620,-0.102536E-01,-0.417935,-0.396958E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.163017E-01,1.02753,0.478584,1.02542,-1.25622,1.07647,1.27592,1.07647,-0.281173E-01,1.07647,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.124896,0.822335E-01,0.361796E-02,0.893643E-01,42.9172,0.248131E-01,0.399166E-03,0.313305E-01,-0.690424E-03,18.7333,302.815,461.093,7.45333,101.449,122.416,0.00000
2023-05-10T193000_AIU-1095.ghg,2023-05-10,20:00,130.8332,0,36000,36000,-0.200645E-01,1,5.38889,1,4.61833,2,2.75545,1,0.103355,2,-0.260597,0.209502,0.672976E-01,0.468849E-02,-0.115539E-09,-0.188285E-11,18.8338,462.230,465.739,0.200000,1,306.921,7.53261,7.58978,0.200000,1,282.446,281.772,96393.4,1.18843,1009.37,0.243611E-01,0.669739E-02,0.557189E-02,724.552,1115.64,0.468845E-02,64.9449,391.090,275.520,0.402688,-0.276294,0.814030E-02,0.488428,0.358510E-13,-0.613465E-14,0.488428,1.26756,224.285,325.545,0.954954,-9999,0.129935,0.784031E-01,-34.5710,-0.746290E-01,1.16685,-0.345740E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.196565E-01,1.02076,5.54402,1.02097,4.30761,1.07213,2.57007,1.07213,0.964012E-01,1.07213,800000099,800000099,800000099,800000099,800000099,810000099,899999999,899999999,89999,89999,89,89,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0.115288,0.376958E-01,0.382277E-02,0.413305E-01,13.4492,0.310243E-01,0.462171E-02,0.630840E-01,0.236623E-02,18.8140,306.597,462.230,7.53258,101.427,122.396,0.00000
